2017-01-18 16:14:00.970 | INFO | HHH000037: Columns: [g_id, u_id, id] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-18 16:14:00.970 | INFO | HHH000108: Foreign keys: [fk300645b652467bf9, fk300645b6ef562c89] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-18 16:14:00.971 | INFO | HHH000126: Indexes: [fk300645b652467bf9, fk300645b6ef562c89, primary] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-18 16:14:00.981 | INFO | HHH000261: Table found: wetech_cms.t_user_role | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-18 16:14:00.982 | INFO | HHH000037: Columns: [u_id, id, r_id] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-18 16:14:00.982 | INFO | HHH000108: Foreign keys: [fk331dee5f52467bf9, fk331dee5f5243b387] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-18 16:14:00.982 | INFO | HHH000126: Indexes: [fk331dee5f52467bf9, fk331dee5f5243b387, primary] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-18 16:14:00.983 | INFO | HHH000232: Schema update complete | Scanner-0 | org.hibernate.tool.hbm2ddl.SchemaUpdate.execute | SchemaUpdate.java:240 
2017-01-18 16:14:01.154 | INFO | Using DataSource [org.apache.commons.dbcp2.BasicDataSource@4d1dea4a] of Hibernate SessionFactory for HibernateTransactionManager | Scanner-0 | org.springframework.orm.hibernate4.HibernateTransactionManager.afterPropertiesSet | HibernateTransactionManager.java:360 
2017-01-18 16:14:01.562 | INFO | Root WebApplicationContext: initialization completed in 2838 ms | Scanner-0 | org.springframework.web.context.ContextLoader.initWebApplicationContext | ContextLoader.java:345 
2017-01-18 16:14:05.148 | INFO | Closing Root WebApplicationContext: startup date [Wed Jan 18 16:13:58 CST 2017]; root of context hierarchy | Scanner-0 | org.springframework.web.context.support.XmlWebApplicationContext.doClose | AbstractApplicationContext.java:982 
2017-01-18 16:14:29.479 | INFO | Root WebApplicationContext: initialization started | Scanner-0 | org.springframework.web.context.ContextLoader.initWebApplicationContext | ContextLoader.java:305 
2017-01-18 16:14:29.540 | INFO | Refreshing Root WebApplicationContext: startup date [Wed Jan 18 16:14:29 CST 2017]; root of context hierarchy | Scanner-0 | org.springframework.web.context.support.XmlWebApplicationContext.prepareRefresh | AbstractApplicationContext.java:581 
